Subject,Age,Sex,Height(cm),Handsize(cm)
1,25,M,183,19.9
2,31,M,178,19.8
3,41,M,168,17.5
4,26,F,177,19.1
5,28,F,163,17
6,40,M,178,19.4
7,25,M,178,19
8,31,M,185,22.5
9,30,M,174,19.5
10,41,M,176,20
11,40,M,169,18.2
12,28,F,157,16.8
13,32,M,173,19.7
14,66,M,172,18.7
15,58,M,168,18.2
16,65,F,157,17
17,29,F,164,16.8
18,28,F,170,17.5
19,27,M,175,18.3
20,50,F,164,17.9
21,26,F,168,17.7
22,26,F,171,18
23,56,F,158,17.2
24,58,F,164,18.1
25,49,F,164,17.5
26,28,F,172,18.6
27,29,F,158,17
28,26,M,176,18.5
29,29,F,168,18.1
30,41,M,172,18.4
31,60,F,165,17.7
32,44,F,172,17.6
33,25,F,169,18
34,27,M,174,18.6
35,12,F,159,17.5
36,58,F,152,16.5
37,31,F,160,17.1
38,10,M,135,14.7
39,48,F,161,17.5
40,19,M,173,18.7
41,18,F,158,16.5
42,41,M,170,18.5
43,51,F,165,17.3
44,50,M,180,19.1
45,68,M,171,18.2
46,64,M,172,18.3
47,62,M,170,18.2
48,16,F,153,16.6
49,12,M,162,17.5
50,12,M,171,19.5
51,31,M,175,19.1
52,32,M,170,18.1
53,24,F,170,17.7
54,74,M,165,17
55,44,F,159,18.5
56,12,F,163,18
57,59,F,160,16.5
58,32,F,162,16.8
59,41,M,173,19.6
60,44,F,160,16.9
61,70,M,170,18.5
62,47,M,180,21
63,17,M,169,18.7
64,12,F,153,16.1
65,18,F,177,20.2
66,17,M,180,21.3
67,60,F,153,16.8
68,12,M,154,16.3
69,10,M,148,16.5
70,19,M,177,20.7
71,19,M,173,18.8
72,19,M,174,19.3
73,19,M,171,18.3
74,42,F,165,18.7
75,67,M,163,17.5
76,60,M,177,18.5
77,65,M,169,18.4
78,67,M,175,19
79,67,M,160,18.3
80,69,F,158,17.4
81,74,M,173,18.2
82,64,M,176,18.4
83,63,F,165,18
84,64,M,170,18
85,17,F,163,16.7
86,12,F,152,16.3
87,16,M,177,20.3
88,71,F,154,16.1
89,41,F,165,17.4
90,44,M,177,20.2
91,69,F,156,16.1
92,68,F,164,18.9
93,62,F,156,17
94,12,F,158,17.3
95,13,F,161,16.4
96,71,F,150,16.6
97,63,F,163,16.7
98,45,F,160,17
99,29,M,165,19.5
